X,Y,OBJECTID,Stop_Code,Stop_ID,Stop_Name,Street,Cross_Street,Position,Stop_Lat,Stop_Lon,Downtown,Council_District,Sign_Crew,Road_Maint,GoRaleigh,GoTriangle,Wolfline,Wake_Forest,GoDurham,GoCary,Shelter,Shelter_Type,Shelter_Count,Bench,Bench_Type,Bench_Count,Trash_Can,Trash_Can_Type,Trash_Can_Count,Landing_Pad,Amenity_Pad,Pad_Size,Bike_Rack,Lighting,Lighting_Type,Real_Time,USB_Charging,Sidewalk,Crosswalk,Ped_Signal,Curb_Ramp,ADA_Compliant,Bike_Lane,Greenway,Art,Project,Project_Type,Project_Status,Project_Target,R1,R2,R2L,R3,R4,R5,R6,R7,R7L,R8,R8L,R9,R10,R11,R11L,R12,R13,R14,R15,R15L,R16,R18,R18S,R19,R20,R21,R22,R23,R23L,R24,R24L,R25,R25L,R26,R27,R28,R29,R31,R32,R33,R34,R36,R40X,R55X,R70X,R401X,R_Line,WRX,WFL,FRX,ZWX,Boardings,Alightings,Facility_ID,CreationDate,Creator,EditDate,Editor,Project_Lead,Sign_Type,Bus_Zone,Project_Complete,Ridership_Updated,Landscaping,GlobalID,R17,EmergencyPhone,Adoptable,Adoption_Status
-8755651.52,4270603.7335,1,1201,1201,Hillsborough St at Mayo St,Hillsborough St,Mayo St,Far,35.7815446214905,-78.6533558284032,No,D,C,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,Yes,Yes,Yes,No,,No,No,,,,,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,4,1201,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/28 21:02:19.106+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,35785dd5-80f7-45bf-ad73-c8b8049d3c37,No,,No,Available
-8753981.2905,4269631.0731,2,1284,1284,Wilmington St at Cabarrus St,Wilmington St,Cabarrus St,Far,35.7744559436212,-78.6383519015248,Yes,C,E,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,Yes,No,,No,Some,Street,No,No,Yes,No,No,Yes,No,Yes,Yes,No,,,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,12,68,1284,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,Compliant,1b52f78b-d06e-4b11-9520-898f8dce2b92,No,,No,Available
-8751944.9484,4282501.1858,3,1483,1483,Spring Forest Rd at Falls of Neuse,Spring Forest Rd,Falls of Neuse,Far,35.8682012263264,-78.6200591292036,No,A,B,NCDOT,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,1483,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,,3f334b45-1c95-45e4-94ff-d9384090ed2b,No,,No,Available
-8754209.2837,4264287.3494,4,1539,1539,Hammond Rd at Chapanoke Rd (SECU),Hammond Rd,Chapanoke Rd (SECU), ,35.7355000005119,-78.6403999992872,No,D,D,NCDOT,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,1,5,1539,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/04/14 20:18:25.170+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,fe50eac8-5ec8-4167-bd46-f93c2ca194bc,No,,No,Available
-8754159.9951,4264280.3729,5,1540,1540,Hammond Rd at Chapanoke Rd (Detention Center),Hammond Rd,Chapanoke Rd (Detention Center), ,35.7354491296915,-78.6399572322601,No,D,D,NCDOT,Yes,No,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,4,3,1540,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/04/14 20:18:42.538+00,Matthew.Vanhoeck@raleighnc.gov_ral,,GoRaleigh,No,,2022/01/20 05:00:00+00,,7d4417dc-fb21-4284-bb89-849d875aae5a,No,,No,Available
-8754750.5701,4270466.58,6,1703,1703,Hillsborough St at Dawson St,Hillsborough St,Dawson St,Near,35.7805450951448,-78.6452624577492,Yes,D,E,Municipal,Yes,Yes,No,No,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,8,1703,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,CAT,No,,2022/01/20 05:00:00+00,,180dac20-51ab-4ea3-b577-043c29315272,No,,No,Available
-8739756.4791,4297313.439,7,1811,1811,White St at Elm Ave (Park-and-Ride),White St,Elm Ave (Park-and-Ride), ,35.9759558554898,-78.5105682465815,No,,B,,Yes,No,No,Yes,No,No,No,,0,Yes,Improved,1,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,2022,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1811,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,d10aac37-b794-4a10-ba50-f86ebfe06efb,No,,No,Available
-8742353.1864,4298690.9347,8,1812,1812,WF Crossing Shopping Center at Lowes Foods,WF Crossing Shopping Center,Lowes Foods, ,35.985969253728,-78.5338948651412,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,Yes,No,,No,,,No,No,No,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,8,8,1812,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,6298f7d5-c08b-4c1f-9bcc-bbd9dd57a402,No,,No,Available
-8741188.2429,4298975.8192,9,1813,1813,Stadium Dr at Whistling Swan Dr,Stadium Dr,Whistling Swan Dr, ,35.9880399998666,-78.5234299996294,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,2,1813,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,a6030c10-d343-4377-99e9-970848571564,No,,No,Available
-8740866.637,4298627.989,10,1814,1814,Stadium Dr at McDowell Dr,Stadium Dr,McDowell Dr, ,35.9855117116829,-78.520540964675,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,1,1814,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,ca1287b9-adee-4fee-b038-2a6b76995fc1,No,,No,Available
-8740305.4794,4298293.4559,11,1815,1815,Stadium Dr at Wake Forest-Rolesvill,Stadium Dr,Wake Forest-Rolesvill, ,35.9830800005597,-78.5155000001862,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,1,1815,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,b45ec8af-4c96-47f4-b2af-6bf6afd48198,No,,No,Available
-8739925.88,4298149.0093,12,1816,1816,North Ave at Wingate St (SBTS),North Ave,Wingate St (SBTS), ,35.9820299995685,-78.5120900007576,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,0,1816,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,1590eb4e-db7c-4985-b185-d94599ca6cee,No,,No,Available
-8739588.5818,4297840.8634,13,1817,1817,White St at Roosevelt Ave,White St,Roosevelt Ave, ,35.9797900000461,-78.5090599994739,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5,3,1817,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,70d38ea2-06b6-46a4-ad22-0fe6c2741fc2,No,,No,Available
-8739204.5296,4298487.4298,14,1818,1818,Juniper Ave at White St,Juniper Ave,White St, ,35.9844899998915,-78.5056099998623,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,0,1818,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,a2662d48-1adc-4fe4-a328-d2473d3e6485,No,,No,Available
-8738960.7399,4298364.992,15,1819,1819,Juniper Ave at Taylor St,Juniper Ave,Taylor St, ,35.9836000003591,-78.5034199997261,No,,,,Yes,No,No,Yes,No,No,No,,0,Yes,Improved,1,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,No,No,,No,No,,Shelter,Planned,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1819,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,d153dbf0-01fb-4216-ae06-1e180729b528,No,,No,Available
-8738650.1585,4298175.1472,16,1820,1820,Allen Rd at Juniper Ave,Allen Rd,Juniper Ave, ,35.9822200000073,-78.5006299995403,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,2,1820,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,57dfbebe-e0f5-4b5f-92ff-77d15da31e89,No,,No,Available
-8738660.1773,4297692.2963,17,1821,1821,Allen Rd at Best St,Allen Rd,Best St,,35.9787100006121,-78.500719999952,No,,,,Yes,No,No,Yes,No,No,Yes,Full,1,Yes,Improved,1,Yes,Concrete Mounted,1,No,Yes,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,Complete,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,5,2,1821,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,3994ee5d-1cda-45af-969b-893235f5d34d,No,,Yes,Available
-8739029.758,4297472.2003,18,1822,1822,Wait Ave at Highgate Dr,Wait Ave,Highgate Dr, ,35.9771100003837,-78.5040399998672,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,0,0,1822,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,8efef42c-2339-4985-8f0d-efd12a921f50,No,,No,Available
-8739443.8665,4297688.1693,19,1823,1823,Roosevelt Ave at Brooks St,Roosevelt Ave,Brooks St, ,35.9786799999086,-78.5077599998156,No,,,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,7,11,1823,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,58b5aef9-4d13-4fb9-bad2-952616816000,No,,No,Available
-8739670.9582,4297626.2669,20,1824,1824,White St at Jones Ave,White St,Jones Ave, ,35.9782299995248,-78.5097999992656,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,Yes,Concrete Mounted,1,No,No,,No,,,No,No,Yes,No,No,Yes,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1824,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,7ead4679-621b-4bf1-b72a-9d9a97dceb6d,No,,No,Available
-8739796.1927,4296584.4338,21,1825,1825,Holding Ave at Northern Regional Ce,Holding Ave,Northern Regional Ce, ,35.9706560004382,-78.5109249999201,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,6,3,1825,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,6c0c31a0-ffa7-4f4f-87b8-49e5e6133c24,No,,No,Available
-8739741.2009,4296155.5696,22,1826,1826,Franklin St at Yellow Poplar Ave,Franklin St,Yellow Poplar Ave, ,35.9675379992807,-78.5104310001757,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,1,1,1826,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,2004fa89-4d72-4a64-8fec-851bb5150699,No,,No,Available
-8741318.5478,4294110.607,26,1830,1830,Main St (1A) at Rogers Rd,Main St (1A),Rogers Rd, ,35.9526686704829,-78.524600548462,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,2,1830,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,35f0d227-7e71-4bea-a4ce-99ba8b890d21,No,,No,Available
-8742014.2336,4293740.8782,27,1831,1831,Main St (1A) at Ligon Mill Rd,Main St (1A),Ligon Mill Rd, ,35.9499800001034,-78.5308500003328,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,2,1,1831,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,bcb30fa1-3b75-425d-bac0-76ac8affef8f,No,,No,Available
-8742517.8779,4293441.4841,28,1832,1832,Main St (1A) at Walmart,Main St (1A),Walmart, ,35.9478027373876,-78.5353743140574,No,,B,,Yes,No,No,Yes,No,No,No,,0,No,,0,No,,0,No,No,,No,,,No,No,No,No,No,No,No,,No,No,,Shelter,Planned,2023,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,6,5,1832,2020/07/28 13:27:39.407+00,justin.greco@raleighnc.gov_ral,2022/03/08 13:05:58.485+00,Matthew.Vanhoeck@raleighnc.gov_ral,,,No,,2022/01/20 05:00:00+00,,575c762f-d62d-4e7d-b073-91b414e199aa,No,,No,Available
