GEOID10,B_NAIP,G_NAIP,R_NAIP,NIR_NAIP,NDVI,NDBI,ESA_LC_MODE,Impervious_Surface,Tree_Coverage,RD_LST_0723,RD_LST_0808,RD_LST_Composite,RD_MODIS_0721,RD_MODIS_0724,am_hi,am_t,af_hi,af_t,pm_hi,pm_t
3.7063E+11,96.39012909,110.5633087,86.88951874,165.5017548,0.524737477,-0.176886216,10,23.47353363,46.09934235,42964.20313,47106.22656,45035.21484,15324.9541,15368.95605,67.94733429,67.2208252,84.71659851,83.94698334,83.50695801,81.19681549
3.7063E+11,123.4897537,136.20047,127.5924301,141.8038025,0.267949909,-0.081030346,50,53.96635056,26.73226357,43914,47939,45926.5,15145,15084,69.71442413,69.09429169,86.13686371,84.21922302,84.26830292,82.16488647
3.7063E+11,120.0900803,133.9606018,122.444725,173.5016479,0.32303679,-0.047193281,50,47.86003494,40.53151703,41685.58594,47353.83203,44519.70703,15312.56055,15378.03516,69.50125885,68.54076385,87.21871948,84.64902496,84.49589539,82.80252838
3.7063E+11,101.3770676,118.6381607,91.9601593,178.7103577,0.606655836,-0.247666821,10,25.06784248,74.40557861,43956.70703,45636.58594,44796.64453,15129.6123,15180.16016,66.78437042,66.3657608,86.17214966,83.83369446,79.97084808,78.58261108
3.7063E+11,105.1633148,122.6830368,100.8160172,173.1284332,0.586808205,-0.213791266,10,25.82653427,72.89391327,44285.60156,45839.15625,45062.37891,15120.76465,15126.91406,67.28836823,66.79402161,85.11115265,83.21497345,81.17950439,79.51513672
3.7063E+11,117.0426636,133.3466492,122.3789215,172.5222321,0.341338664,-0.063351624,50,49.64333725,31.89932632,43417.16797,47793.93359,45605.55078,15292.76074,15430.625,69.64014435,68.62365723,86.00744629,84.78092194,84.39586639,82.55288696
3.7063E+11,102.8729782,119.9302673,95.14279175,169.3424988,0.572879374,-0.226988167,10,19.09503365,57.98551941,44845.90625,46194.94531,45520.42578,15206.97168,15269.59961,66.78141785,66.38786316,85.5598526,83.82333374,81.29922485,79.45018005
3.7063E+11,102.0675888,119.5425568,92.44145203,183.441925,0.628548682,-0.249062136,10,24.16184425,75.86709595,43843.02344,45496.03906,44669.53125,15101.91309,15156.01172,67.2270813,66.80222321,86.2155838,83.7069931,80.19146729,78.74629211
3.7063E+11,94.24337769,108.2918854,80.71305084,175.3839569,0.597561896,-0.216672048,10,13.47038269,60.82616806,44116.61719,45954.90234,45035.75781,15188.59668,15230.16504,66.82193756,66.34371948,85.53051758,83.1924057,80.8036499,79.20850372
3.7063E+11,99.14112854,114.3407974,89.06906891,173.4203339,0.571780682,-0.242304564,10,19.28346443,70.86471558,44913.72656,46125.67969,45519.70313,15181.41602,15214.8125,67.74781036,67.12908173,84.46375275,82.89631653,82.04228973,80.26763916
3.7063E+11,99.9234848,116.4150772,93.85839844,169.0241089,0.548592985,-0.178507417,10,20.13739586,52.22496796,43036.91797,46448.86328,44742.89063,15205.10547,15295.03906,67.01874542,66.40461731,85.02539825,83.33898163,81.33255005,79.66828918
3.7063E+11,98.95800018,114.2734299,90.92432404,168.9161682,0.556447387,-0.178930029,10,17.11182213,55.25498199,42409.02344,46433.10938,44421.06641,15201.53711,15278.4248,66.60649872,66.05802917,84.53623962,83.58798981,81.95929718,80.13973236
3.7063E+11,109.6627655,125.1436081,106.5549393,158.7160797,0.499159336,-0.139099509,10,26.02342224,49.04273987,45409.42969,46512.91797,45961.17188,15145.17188,15252.55176,67.6473999,66.89482117,84.61454773,83.85799408,83.64677429,81.49424744
3.7063E+11,107.3774948,124.6551208,104.8138733,188.1493073,0.58979845,-0.215674818,10,5.957828045,65.60037994,44863.82422,46011.01172,45437.41797,15177.66602,15233.08691,67.60083008,66.99594879,84.80541229,83.08287811,82.66455841,80.43414307
3.7063E+11,102.2422562,121.689476,96.67698669,178.2001801,0.469401479,-0.172471344,10,28.49520302,55.32249832,44945.46484,46666.6875,45806.07813,15176.92773,15250.70605,68.09278107,67.33716583,85.25695801,84.17488098,83.9882431,81.63315582
3.7063E+11,108.37677,125.1302948,106.347023,179.3143005,0.549537361,-0.208733663,10,37.60908127,70.12576294,44713.68359,46234.12109,45473.90234,15171.13086,15276.6709,67.60910797,66.99053955,84.84247589,83.48855591,81.92314911,80.23008728
3.7063E+11,108.9380493,125.3728867,109.9127579,174.8890991,0.429241657,-0.119239412,10,38.09021378,45.23789215,44255.17188,47383.11328,45819.14453,15260.96484,15388.94043,68.69956207,67.8743515,85.90398407,84.48970032,83.94652557,81.91133118
3.7063E+11,109.6432877,125.2910995,110.3944397,169.7761993,0.400411427,-0.093710065,10,40.09068298,34.96078491,44150.4375,47777.55078,45963.99609,15321.90625,15465.73242,69.04937744,68.20500946,86.15877533,84.46977234,84.18426514,82.49031067
3.7063E+11,116.4247589,131.4114075,118.0286331,173.5090179,0.359029472,-0.071004696,50,44.48220444,36.07522583,43820.07422,47779.64453,45799.85547,15284.85254,15389.32813,69.31480408,68.42302704,86.62466431,84.29695892,84.04966736,82.38478851
3.7063E+11,119.2316284,137.0163879,125.9928589,180.819397,0.331968188,-0.025256023,50,47.90402985,20.53177643,44821.71094,47705.94922,46263.82813,15279.43164,15399.38379,69.81358337,68.76906586,85.53860474,84.46085358,84.5477829,82.7697525
3.7063E+11,104.5423355,121.5028229,99.991539,171.4147491,0.553230464,-0.219323486,10,18.78513336,64.31226349,43715.44531,46323.5625,45019.50391,15207.49609,15314.99609,67.43091583,66.86356354,85.39154816,83.64295197,81.91983032,80.06492615
3.7063E+11,103.9330673,121.347496,98.00775909,175.8527985,0.596915245,-0.245184377,10,22.52051926,65.59883881,43183.03125,45995.78125,44589.40234,15167.76855,15218.91211,66.51018524,66.10882568,85.99246979,84.07653809,81.10346222,79.44776917
3.7063E+11,99.65834045,116.2628098,93.72536469,167.4529877,0.587531269,-0.211395085,10,25.6422596,66.80970764,44485.42188,46164.26172,45324.84375,15149.18555,15251.41211,67.08351898,66.53275299,85.38056183,83.56973267,81.92747498,80.22397614
3.7063E+11,119.6467133,137.0075073,122.6135712,177.3408661,0.447975963,-0.147876203,10,35.16897964,53.13216019,44749.71875,46852.61719,45801.16406,15229.3125,15330.70996,68.62647247,67.99217987,84.77598572,83.4644928,84.2285614,82.29627228
3.7063E+11,118.5873871,133.0817261,121.3360367,158.3846893,0.344692737,-0.067303777,50,48.93731308,32.48761368,45209.48828,47351.75,46280.61719,15227.14063,15290.9707,69.66176605,68.9465332,85.89764404,84.34281158,84.46430969,82.74443817
3.7063E+11,109.772377,127.0336533,107.1025085,174.3892212,0.523836732,-0.194671556,10,23.36239624,54.42730713,45085.19531,46335.70703,45710.45313,15236.00684,15322.47852,68.39306641,67.68917847,84.00241089,82.94191742,84.15870667,81.96092987
3.7063E+11,92.16520691,106.3811264,80.42937469,177.2046509,0.593809545,-0.229549199,10,10.20642471,65.98090363,44222.62891,46298.17578,45260.39844,15246.35938,15284.33008,67.35810852,66.7731781,85.16580963,83.09923553,81.69591522,80.04677582
3.7063E+11,116.3769913,129.8913422,114.6014709,164.0015717,0.359389722,-0.083641671,50,45.52412415,39.10084534,44695.27734,47013.10156,45854.19141,15294.04297,15349.94043,68.68531799,67.88417816,85.20927429,84.45806885,84.305336,82.12598419
3.7063E+11,105.3086624,120.67733,100.1744003,173.5699463,0.483689219,-0.147888869,10,29.93531418,53.00697327,44921.35156,46952.20313,45936.77734,15280.06934,15323.01855,68.3899765,67.59492493,85.39978027,84.0165863,83.51316833,81.61798096
3.7063E+11,107.14608,124.1049118,105.9823074,167.1933441,0.444706798,-0.098916382,10,29.9380455,43.30633545,44065.69922,46808.14453,45436.92188,15219.99121,15294.79199,68.53556061,67.7926712,85.70556641,84.05294037,83.38560486,81.22066498
3.7063E+11,95.99198151,111.312561,88.15010834,169.9632263,0.519313037,-0.175510153,10,22.90396309,46.07699203,44896.25781,46728.16016,45812.21094,15313.6084,15441.0752,67.35739136,66.76845551,85.10105133,83.50737,82.84643555,80.62188721
3.7063E+11,101.9085083,115.8831253,93.09456635,172.9960022,0.500711203,-0.17554085,10,28.72174835,58.71104431,42103.73047,46833.25,44468.49219,15299.49805,15349.86914,68.30422211,67.47851563,85.35023499,83.70400238,83.34137726,81.33657074
3.7063E+11,114.2202988,129.048996,113.4930115,170.13591,0.357701361,-0.063748427,50,50.25468063,43.49805069,42798.28125,47165.09375,44981.6875,15258.31641,15318.03711,68.22615814,67.48368073,85.1689682,84.8121109,84.30921173,82.23699188
