ADM1_EN,ADM1_JA,ADM1_PCODE,YEAR,VISITORS_PREFEC,
 Aichi,愛知県,JP23,2019,3577060,
 Akita,秋田県,JP05,2019,119320,
 Aomori,青森県,JP02,2019,337620,
 Chiba,千葉県,JP12,2019,4718120,
 Ehime,愛媛県,JP38,2019,203890,
 Fukui,福井県,JP18,2019,79440,
 Fukuoka,福岡県,JP40,2019,3787880,
 Fukushima,福島県,JP07,2019,178810,
 Gifu,岐阜県,JP21,2019,1281280,
 Gunma,群馬県,JP10,2019,269090,
 Hiroshima,広島県,JP34,2019,1072690,
 Hokkaido,北海道,JP01,2019,7975750,
 Hyōgo,兵庫県,JP28,2019,1301160,
 Ibaraki,茨城県,JP08,2019,204110,
 Ishikawa,石川県,JP17,2019,926770,
 Iwate,岩手県,JP03,2019,325450,
 Kagawa,香川県,JP37,2019,541890,
 Kagoshima,鹿児島県,JP46,2019,727850,
 Kanagawa,神奈川県,JP14,2019,2956530,
 Kōchi,高知県,JP39,2019,80750,
 Kumamoto,熊本県,JP43,2019,862710,
 Kyoto,京都府,JP26,2019,8949140,
 Mie,三重県,JP24,2019,352750,
 Miyagi,宮城県,JP04,2019,534250,
 Miyazaki,宮崎県,JP45,2019,306170,
 Nagano,長野県,JP20,2019,1244740,
 Nagasaki,長崎県,JP42,2019,577400,
 Nara,奈良県,JP29,2019,439610,
 Niigata,新潟県,JP15,2019,381920,
 Ōita,大分県,JP44,2019,933200,
 Okayama,岡山県,JP33,2019,440540,
 Okinawa,沖縄県,JP47,2019,5423450,
 Osaka,大阪府,JP27,2019,15869040,
 Saga,佐賀県,JP41,2019,342450,
 Saitama,埼玉県,JP11,2019,190840,
 Shiga,滋賀県,JP25,2019,396790,
 Shimane,島根県,JP32,2019,71020,
 Shizuoka,静岡県,JP22,2019,2113160,
 Tochigi,栃木県,JP09,2019,265330,
 Tokushima,徳島県,JP36,2019,99900,
 Tokyo,東京都,JP13,2019,27958830,
 Tottori,鳥取県,JP31,2019,154070,
 Toyama,富山県,JP16,2019,276670,
 Wakayama,和歌山県,JP30,2019,390550,
 Yamagata,山形県,JP06,2019,184760,
 Yamaguchi,山口県,JP35,2019,101980,
 Yamanashi,山梨県,JP19,2019,1779730,
