GEO_ID,NAME,YEAR,FIRM,TOT
50001,"Addison County, Vermont",2018,970,16918
50003,"Bennington County, Vermont",2018,1137,16918
50005,"Caledonia County, Vermont",2018,740,16918
50007,"Chittenden County, Vermont",2018,4510,16918
50009,"Essex County, Vermont",2018,91,16918
50011,"Franklin County, Vermont",2018,841,16918
50013,"Grand Isle County, Vermont",2018,139,16918
50015,"Lamoille County, Vermont",2018,815,16918
50017,"Orange County, Vermont",2018,579,16918
50019,"Orleans County, Vermont",2018,619,16918
50021,"Rutland County, Vermont",2018,1713,16918
50023,"Washington County, Vermont",2018,1803,16918
50025,"Windham County, Vermont",2018,1360,16918
50027,"Windsor County, Vermont",2018,1601,16918
